category,tags,use_cases,dietary_notes,price_band,stock_seed
Shelf-stable snacks,"bulk,office,pantry,individually-wrapped,kirkland-friendly",office snacks and drinks; pantry restocking; school/church/community events,"Use name-derived tags: gluten-free, nut-free, vegetarian, organic only when explicit in product name",low|mid,in_stock:0.78;low_stock:0.14;out:0.08
Beverages,"water,sparkling,coffee,tea,soda,juice,bulk",office drinks; team events; community events,"Flag caffeine, sugar-free, dairy-free from product name where explicit",low|mid,in_stock:0.82;low_stock:0.12;out:0.06
Fresh deli and prepared foods,"party,perishable,ready-to-serve,time-sensitive",team events; parent party; school/church/community events,Allergen and dietary needs require review because prepared foods vary by warehouse,mid|high,in_stock:0.60;low_stock:0.25;out:0.15
Bakery and desserts,"party,dessert,bulk,perishable",team events; parent party; community events,Contains likely wheat/dairy/egg unless explicit alternative; route allergy orders to review,low|mid,in_stock:0.70;low_stock:0.20;out:0.10
Produce and healthy snacks,"fresh,healthy,event,perishable",office snacks; team events; pantry restocking,Good vegetarian/vegan candidate but validate packaged dips/dressings,low|mid,in_stock:0.65;low_stock:0.22;out:0.13
Frozen appetizers and meals,"freezer,party,bulk,heat-and-serve",team events; parent party; small business pantry,Requires freezer storage and prep equipment; allergens product-specific,mid,in_stock:0.68;low_stock:0.20;out:0.12
Paper and disposable serveware,"plates,cups,napkins,utensils,event,supplies",team events; school/church/community events; small business supplies,Not food; dietary not applicable,low|mid,in_stock:0.85;low_stock:0.10;out:0.05
Cleaning and facilities supplies,"janitorial,facilities,business,recurring",small business supplies; facilities/procurement; pantry restocking,Not food; check chemical/scent preferences,mid|high,in_stock:0.80;low_stock:0.12;out:0.08
Coffee and breakroom,"coffee,k-cups,creamer,sugar,breakroom",office snacks and drinks; pantry restocking; small business supplies,Flag dairy/non-dairy for creamers from product name,mid,in_stock:0.76;low_stock:0.16;out:0.08
Kirkland Signature/private label,"value,private-label,kirkland,substitute",all Costco use cases,Dietary from underlying product only; brand preference tag,low|mid,in_stock:0.82;low_stock:0.12;out:0.06
Gift cards and shop cards,"gift,nonfood,event,reward",team events; employee appreciation; community events,Not food; route high dollar amounts to review,mid|high,in_stock:0.90;low_stock:0.08;out:0.02
