company,persona,query,expected_match_behavior,clarifying_question,auto_order_allowed,notes
Costco,Office manager,"I need snacks and drinks for 35 people for the office next week, keep it under about $250.","Match bottled water/sparkling water, variety snack packs, fruit if available, Kirkland/private-label substitutes; estimate quantities by pack count.","Any dietary restrictions, and do you have storage space for bulk cases?",review,Budget plus headcount requires quantity estimate and final approval before order.
Costco,Small business owner,"Restock our breakroom like last month, but cheaper if possible.","Use Customer Brain reorder history; prefer Kirkland coffee, paper cups, sweeteners, water, granola/protein bars; swap to lower price-band private label.",Should I keep the same quantities as last month?,yes_if_same_items_under_threshold,Auto-order if recurring list and budget threshold are pre-approved.
Costco,Parent planning a party,I’m throwing a birthday party for 20 kids and 15 adults this Saturday.,"Recommend bakery/dessert, bottled drinks, chips/snacks, disposable plates/napkins, possibly frozen appetizers.","Any allergies, and do you need pickup or delivery?",review,Party perishable items and allergens should be reviewed.
Costco,Facilities/procurement,"We’re low on paper towels, trash bags, coffee cups, and disinfecting wipes.",Match facilities supplies and breakroom disposables; infer recurring procurement list.,Do you want the same brands as previous facilities orders?,yes_if_known,Can auto-order routine nonfood supplies if approved vendor/brand rules exist.
Costco,Church volunteer,We need food and supplies for a community breakfast for 80 people.,"Match coffee, juice, pastries, fruit, plates/cups/napkins; route prepared/perishable items to review.","What time is the event, and do you have dietary needs like gluten-free or dairy-free?",review,"Large headcount, perishables, and timing need human review."
Costco,Office manager,"Can you get healthy snacks only, nothing with nuts, for 40 people?","Match fruit, popcorn, pretzels, nut-free explicit items; exclude nuts/trail mix and uncertain allergen items.",Is this a strict allergy requirement or just a preference?,review,Strict allergen constraints should never rely only on product-name inference.
Costco,Small business owner,Order two cases of Kirkland water and whatever coffee we usually buy.,Match Kirkland bottled water and prior coffee SKU from history.,Do you want delivery or warehouse pickup?,yes_if_membership_and_address_known,Simple known reorder can be automated.
Costco,Parent planning a party,I need a charcuterie-style spread but no pork.,"Match cheese, crackers, fruit, nuts if allowed, non-pork deli alternatives; avoid meat trays unless ingredients verified.","Are nuts okay, and should I avoid all meat or only pork?",review,Dietary/religious restriction plus prepared foods requires review.
Costco,Procurement,Find the cheapest copy paper and printer ink options.,"Match office supplies by product names, price_band low, compatible ink if model known.",What printer model or cartridge number do you need?,no,Cannot guess ink compatibility.
Costco,Office manager,"We have a board meeting tomorrow morning for 12 people, coffee and light breakfast.","Match coffee, creamer, pastries/muffins, fruit, cups/napkins; prioritize same-day/warehouse availability seed.",Do you need this delivered by a specific time?,review,Timing-sensitive order should confirm fulfillment channel.
Starbucks,Commuter,"I want something cold, not too sweet, with caffeine, but no dairy.",Recommend iced coffee/cold brew/iced Americano with oat milk if desired; light syrup.,Do you want coffee-forward or fruity?,yes_if_profile_known,"Safe to suggest, but allergen strictness needs caution."
Starbucks,Overwhelmed caller,I don’t know Starbucks words. I want a warm cozy drink that tastes like cinnamon.,Translate to plain English; suggest chai tea latte or cinnamon dolce-style latte if available.,"Do you want coffee in it, or tea/no coffee?",no,Avoid assuming caffeine preference.
Starbucks,Coworker ordering,"Get four drinks for my team: two sweet iced coffees, one low-calorie, one caffeine-free.","Match iced flavored lattes/cold brew for sweet coffees, iced Americano/light syrup for low-calorie, herbal tea/steamer for caffeine-free.",Any milk preferences or names for the cups?,review,Multi-person order with different constraints needs confirmation.
Starbucks,Dietary constrained,"I’m vegan, can you get me a caramel macchiato?","Suggest non-dairy milk, no whip if applicable; warn caramel drizzle/sauces may not fit vegan depending ingredients and store info.","Is vegan a strict requirement? If yes, should I choose a simpler dairy-free drink?",review,Avoid guessing ingredient suitability for strict vegan/allergen requests.
Starbucks,Low caffeine,Something refreshing but only a little caffeine.,"Suggest Refreshers or iced tea, not espresso/cold brew; optionally light base.",Do you prefer fruity or tea flavor?,yes_if_profile_known,Caffeine estimates are category-level unless nutrition detail is queried.
Starbucks,Dessert seeker,I want the most dessert-like cold drink.,"Suggest Frappuccino blended beverage, mocha/caramel/cookie flavor, whipped cream.",Coffee-based or crème/no coffee?,no,Need caffeine preference.
Starbucks,Parent,Order my daughter Emma’s usual and get me something hot and not sweet.,Use Customer Brain family drink memory for Emma; recommend hot brewed coffee/Americano/cappuccino for caller.,Do you want milk in yours?,yes_if_emma_usual_known,Can auto-order remembered exact drink if store availability OK.
Starbucks,Plain English preference,Can you make it less Starbucks-y and just order a medium iced coffee with oat milk?,Map medium to Grande; iced coffee with oat milk; ask syrup preference if profile absent.,Do you want it unsweetened or lightly sweetened?,yes_if_preference_known,Use jargon translation layer.
Starbucks,Secret menu request,Get me a Twix Frappuccino.,Explain secret menu is not official in catalog; ask for recipe ingredients/modifications.,What is the recipe or modifications you want?,no,Do not invent unofficial recipes.
Starbucks,Allergy caution,I need a nut-free drink.,Avoid almondmilk and nut-flavored syrups; recommend simple brewed/espresso drink but warn shared equipment/cross-contact.,Is this a severe allergy requiring allergen-safe handling?,review,Allergen-sensitive orders require caution and possibly human/store confirmation.
